file,type,smells,frame,itCount,describeCount
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/unit.js,Ignored Test,"{'line': 175, 'column': 9, 'index': 5830}","  173 | }
  174 |
> 175 | describe.skip('forwardResponse: content-type encoding', () => {
      |         ^ Ignored Test
  176 |   test('content-type header missing', async (done) => {
  177 |     const binaryMimeTypes = []
  178 |     const multiValueHeaders = { foo: ['bar'] }",,
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/unit.js,Lazy Test,"{'line': 303, 'column': 32, 'index': 10118}","  301 |       (resolve, reject) => {
  302 |         const context = new MockContext(resolve, reject)
> 303 |         const contextResolver = makeResolver({
      |                                ^ Lazy Test
  304 |           context,
  305 |           resolutionMode: 'CONTEXT'
  306 |         })",,
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/unit.js,Lazy Test,"{'line': 316, 'column': 29, 'index': 10468}","  314 |   test('CALLBACK', () => {
  315 |     const callback = (e, response) => response
> 316 |     const callbackResolver = makeResolver({
      |                             ^ Lazy Test
  317 |       callback,
  318 |       resolutionMode: 'CALLBACK',
  319 |       context: {}",,
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/unit.js,Lazy Test,"{'line': 334, 'column': 30, 'index': 10866}","  332 |         reject
  333 |       }
> 334 |       const promiseResolver = makeResolver({
      |                              ^ Lazy Test
  335 |         promise,
  336 |         resolutionMode: 'PROMISE'
  337 |       })",,
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/integration.js,Conditional Test Logic,"{'line': 271, 'column': 4, 'index': 8260}","  269 |   // Helper function to validate and remove headers
  270 |   const validateAndRemoveHeaders = (headers, isMultiValue = false) => {
> 271 |     if (isMultiValue) {
      |    ^ Conditional Test Logic
  272 |       expect(headers.etag.length).toEqual(1)
  273 |       expect(headers['last-modified'].length).toEqual(1)
  274 |       const etagValue = headers.etag[0]",,
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/integration.js,Conditional Test Logic,"{'line': 286, 'column': 2, 'index': 8857}","  284 |   }
  285 |
> 286 |   switch (eventSourceName) {
      |  ^ Conditional Test Logic
  287 |     case 'alb':
  288 |     case 'apiGatewayV1':
  289 |       validateAndRemoveHeaders(response.multiValueHeaders, true)",,
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/integration.js,Conditional Test Logic,"{'line': 474, 'column': 4, 'index': 14235}","  472 |     jest.useRealTimers()
  473 |
> 474 |     switch (eventSourceName) {
      |    ^ Conditional Test Logic
  475 |       case 'azureHttpFunctionV4':
  476 |       case 'azureHttpFunctionV3':
  477 |         expectedResponse.cookies = [",,
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/integration.js,Conditional Test Logic,"{'line': 518, 'column': 6, 'index': 15193}","  516 |       ]
  517 |
> 518 |       for (const method of mockMethods) { mocks.push(jest.spyOn(global.console, method).mockImplementation()) }
      |      ^ Conditional Test Logic
  519 |     })
  520 |
  521 |     afterEach(() => {",,
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/integration.js,Conditional Test Logic,"{'line': 522, 'column': 6, 'index': 15335}","  520 |
  521 |     afterEach(() => {
> 522 |       for (const mock of mocks) mock.mockRestore()
      |      ^ Conditional Test Logic
  523 |     })
  524 |
  525 |     test('custom logger', async () => {",,
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 568, 'column': 6, 'index': 16721}","  566 |       loggerError.debug('nocall')
  567 |       loggerError.verbose('nocall')
