file,type,smells,frame,itCount,describeCount
  20 |       config.get = jest.fn(key => {
> 21 |         switch (key) {
     |        ^ Conditional Test Logic
  22 |           case 'mode':
  23 |             return 'test';
  24 |           default:",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/binance.test.js,Conditional Test Logic,"{'line': 50, 'column': 8, 'index': 1257}","  48 |     beforeEach(() => {
  49 |       config.get = jest.fn(key => {
> 50 |         switch (key) {
     |        ^ Conditional Test Logic
  51 |           case 'mode':
  52 |             return 'live';
  53 |           default:",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/symbol-update-last-buy-price.test.js,Conditional Test Logic,"{'line': 26, 'column': 6, 'index': 596}","  24 |
  25 |     mockExecute = jest.fn((funcLogger, symbol, jobPayload) => {
> 26 |       if (!funcLogger || !symbol || !jobPayload) return false;
     |      ^ Conditional Test Logic
  27 |       return jobPayload.preprocessFn() && jobPayload.postprocessFn();
  28 |     });
  29 |",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/symbol-update-last-buy-price.test.js,Conditional Test Logic,"{'line': 166, 'column': 14, 'index': 5227}","  164 |
  165 |             cacheMock.hget = jest.fn().mockImplementation((key, field) => {
> 166 |               if (
      |              ^ Conditional Test Logic
  167 |                 key === 'trailing-trade-symbols' &&
  168 |                 field === 'BTCUSDT-symbol-info'
  169 |               ) {",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/symbol-update-last-buy-price.test.js,Conditional Test Logic,"{'line': 263, 'column': 14, 'index': 8333}","  261 |
  262 |             cacheMock.hget = jest.fn().mockImplementation((key, field) => {
> 263 |               if (
      |              ^ Conditional Test Logic
  264 |                 key === 'trailing-trade-symbols' &&
  265 |                 field === 'BTCUSDT-symbol-info'
  266 |               ) {",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/symbol-trigger-sell.test.js,Conditional Test Logic,"{'line': 29, 'column': 6, 'index': 709}","  27 |
  28 |     mockExecute = jest.fn((funcLogger, symbol, jobPayload) => {
> 29 |       if (!funcLogger || !symbol || !jobPayload) return false;
     |      ^ Conditional Test Logic
  30 |       return jobPayload.preprocessFn();
  31 |     });
  32 |",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/symbol-trigger-buy.test.js,Conditional Test Logic,"{'line': 29, 'column': 6, 'index': 708}","  27 |
  28 |     mockExecute = jest.fn((funcLogger, symbol, jobPayload) => {
> 29 |       if (!funcLogger || !symbol || !jobPayload) return false;
     |      ^ Conditional Test Logic
  30 |       return jobPayload.preprocessFn();
  31 |     });
  32 |",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/symbol-setting-update.test.js,Conditional Test Logic,"{'line': 24, 'column': 6, 'index': 553}","  22 |
  23 |     mockExecute = jest.fn((funcLogger, symbol, jobPayload) => {
> 24 |       if (!funcLogger || !symbol || !jobPayload) return false;
     |      ^ Conditional Test Logic
  25 |       return jobPayload.preprocessFn();
  26 |     });
  27 |",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/symbol-setting-delete.test.js,Conditional Test Logic,"{'line': 23, 'column': 6, 'index': 521}","  21 |
  22 |     mockExecute = jest.fn((funcLogger, symbol, jobPayload) => {
> 23 |       if (!funcLogger || !symbol || !jobPayload) return false;
     |      ^ Conditional Test Logic
  24 |       return jobPayload.preprocessFn();
  25 |     });
  26 |",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/symbol-grid-trade-delete.test.js,Conditional Test Logic,"{'line': 39, 'column': 6, 'index': 946}","  37 |
  38 |     mockExecute = jest.fn((funcLogger, symbol, jobPayload) => {
> 39 |       if (!funcLogger || !symbol || !jobPayload) return false;
     |      ^ Conditional Test Logic
  40 |       return jobPayload.preprocessFn();
  41 |     });
  42 |",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/symbol-enable-action.test.js,Conditional Test Logic,"{'line': 23, 'column': 6, 'index': 514}","  21 |
  22 |     mockExecute = jest.fn((funcLogger, symbol, jobPayload) => {
> 23 |       if (!funcLogger || !symbol || !jobPayload) return false;
     |      ^ Conditional Test Logic
  24 |       return jobPayload.preprocessFn();
  25 |     });
  26 |",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/setting-update.test.js,Conditional Test Logic,"{'line': 41, 'column': 6, 'index': 1104}","  39 |
  40 |     config.get = jest.fn(key => {
> 41 |       if (key === 'demoMode') {
     |      ^ Conditional Test Logic
  42 |         return false;
  43 |       }
  44 |       return null;",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/setting-update.test.js,Conditional Test Logic,"{'line': 58, 'column': 8, 'index': 1505}","  56 |
  57 |       config.get = jest.fn(key => {
> 58 |         if (key === 'demoMode') {
     |        ^ Conditional Test Logic
  59 |           return true;
  60 |         }
  61 |         return null;",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/setting-update.test.js,Duplicate Assert,"{'line': 395, 'column': 8, 'index': 11240}","  393 |
  394 |       it('triggers cache.hdel for symbols', () => {
> 395 |         expect(cacheMock.hdel).toHaveBeenCalledWith(
      |        ^ Duplicate Assert
  396 |           'trailing-trade-symbols',
  397 |           'BTCUSDT-symbol-info'
  398 |         );",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/setting-update.test.js,Duplicate Assert,"{'line': 399, 'column': 8, 'index': 11372}","  397 |           'BTCUSDT-symbol-info'
  398 |         );
> 399 |         expect(cacheMock.hdel).toHaveBeenCalledWith(
      |        ^ Duplicate Assert
  400 |           'trailing-trade-symbols',
  401 |           'ETHUSDT-symbol-info'
  402 |         );",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/setting-update.test.js,Duplicate Assert,"{'line': 763, 'column': 8, 'index': 22084}","  761 |
  762 |       it('triggers cache.hdel for symbols', () => {
> 763 |         expect(cacheMock.hdel).toHaveBeenCalledWith(
      |        ^ Duplicate Assert
  764 |           'trailing-trade-symbols',
  765 |           'BTCUSDT-symbol-info'
  766 |         );",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/setting-update.test.js,Duplicate Assert,"{'line': 767, 'column': 8, 'index': 22216}","  765 |           'BTCUSDT-symbol-info'
  766 |         );
> 767 |         expect(cacheMock.hdel).toHaveBeenCalledWith(
      |        ^ Duplicate Assert
  768 |           'trailing-trade-symbols',
  769 |           'ETHUSDT-symbol-info'
  770 |         );",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/manual-trade.test.js,Conditional Test Logic,"{'line': 27, 'column': 6, 'index': 695}","  25 |
  26 |     mockExecute = jest.fn((funcLogger, symbol, jobPayload) => {
> 27 |       if (!funcLogger || !symbol || !jobPayload) return false;
     |      ^ Conditional Test Logic
  28 |       return jobPayload.preprocessFn();
  29 |     });
  30 |",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/manual-trade-all-symbols.test.js,Conditional Test Logic,"{'line': 242, 'column': 6, 'index': 5670}","  240 |
  241 |     mockExecute = jest.fn((funcLogger, symbol, jobPayload) => {
> 242 |       if (!funcLogger || !symbol || !jobPayload) return false;
      |      ^ Conditional Test Logic
  243 |       return jobPayload.preprocessFn();
  244 |     });
  245 |",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/manual-trade-all-symbols.test.js,Conditional Test Logic,"{'line': 295, 'column': 12, 'index': 7184}","  293 |
  294 |           describe(`base symbol - ${baseSymbol}`, () => {
> 295 |             if (quoteOrderQty > 0) {
      |            ^ Conditional Test Logic
  296 |               it('triggers saveOverrideAction', () => {
  297 |                 expect(mockSaveOverrideAction).toHaveBeenCalledWith(
  298 |                   loggerMock,",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/manual-trade-all-symbols.test.js,Conditional Test Logic,"{'line': 396, 'column': 12, 'index': 10410}","  394 |
  395 |           describe(`base symbol - ${baseSymbol}`, () => {
> 396 |             if (marketQuantity > 0) {
      |            ^ Conditional Test Logic
  397 |               it('triggers saveOverrideAction', () => {
  398 |                 expect(mockSaveOverrideAction).toHaveBeenCalledWith(
  399 |                   loggerMock,",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/latest.test.js,Conditional Test Logic,"{'line': 65, 'column': 6, 'index': 2148}","  63 |
  64 |     mockConfigGet = jest.fn(key => {
> 65 |       if (key === 'mongo.host') {
     |      ^ Conditional Test Logic
  66 |         return 'binance-mongo';
  67 |       }
  68 |",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/latest.test.js,Conditional Test Logic,"{'line': 69, 'column': 6, 'index': 2223}","  67 |       }
  68 |
> 69 |       if (key === 'mongo.port') {
     |      ^ Conditional Test Logic
  70 |         return 27017;
  71 |       }
  72 |",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/latest.test.js,Conditional Test Logic,"{'line': 73, 'column': 6, 'index': 2288}","  71 |       }
  72 |
> 73 |       if (key === 'mongo.database') {
     |      ^ Conditional Test Logic
  74 |         return 'binance-bot';
  75 |       }
  76 |",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/latest.test.js,Conditional Test Logic,"{'line': 77, 'column': 6, 'index': 2365}","  75 |       }
  76 |
> 77 |       if (key === 'jobs.trailingTrade') {
     |      ^ Conditional Test Logic
  78 |         return {
  79 |           sell: {
  80 |             stopLoss: {",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/latest.test.js,Conditional Test Logic,"{'line': 99, 'column': 6, 'index': 2873}","   97 |
   98 |     mockIsActionDisabled = jest.fn().mockImplementation(symbol => {
>  99 |       if (symbol === 'BNBUSDT') {
      |      ^ Conditional Test Logic
  100 |         return {
  101 |           isDisabled: true,
  102 |           ttl: 330,",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/frontend/websocket/handlers/__tests__/latest.test.js,Conditional Test Logic,"{'line': 190, 'column': 8, 'index': 5408}","  188 |     beforeEach(async () => {
  189 |       mockCacheHGetAll = jest.fn().mockImplementation((_key, pattern) => {
> 190 |         if (pattern === 'trailing-trade-common:*') {
      |        ^ Conditional Test Logic
  191 |           return trailingTradeCommonJson;
  192 |         }
  193 |",,
